Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
LES BAGUETTES D'OR;Restaurant;Cuisine du Monde;;40 Rue du Marché;;44270;;;MACHECOUL-SAINT-MEME;44087;46.992821;-1.821399;;;02 28 27 39 32;;;https://sites.google.com/site/restobaguettesdor/home;;;;;;;;;;;;;;;;;;;;;;;01/01/2023||31/12/2023||||||||||||||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||12:00||14:00||19:00||21:00||||||||;;;;;;46.992821, -1.821399;Loire-Atlantique
LES CHANTS D'AVRIL;Restaurant;Restaurant gastronomique - cuisine raffinée;;2 Rue Laënnec;;44000;;;NANTES;44109;47.2124937;-1.5480889;Gare SNCF||Gare SNCF - accès Sud||0,589026;;02 40 89 34 76;;;http://www.leschantsdavril.fr/;"http://www.youtube.com/watch?v=LrqgrnVTfl0 ; https://www.youtube.com/watch?v=W-kfPyyhF74 ; https://www.youtube.com/watch?v=W5RRodRgwLE ; https://www.youtube.com/watch?v=DPexJ-Tnw-4 ; https://www.youtube.com/watch?v=pFkrje466ek";;;"http://www.youtube.com/watch?v=LrqgrnVTfl0<span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Bottin Gourmand,Gault Millau,Guide du Routard Pays de la Loire,Le petit futé,Le Routard Hôtels et Restos de France,Les Tables de Nantes,Michelin,Pudlowski;;;oui;;;;40;2;;;;;oui;oui;20;40;;;;oui;||http://www.nantes-tourisme.com/book/116413||||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.2124937, -1.5480889;Loire-Atlantique
LES DEUX ENTETES;Restaurant;Cuisine traditionnelle;65, rue des Sablons;;;72320;;;VIBRAYE;72373;48.0564454;0.73626486;Autoroute||||15;;02.43.93.61.08;;;;;;;;;;;non;;;Banquet,Plats à emporter,Traiteur;64;1;;;;;oui;oui;;64;;"||||||||06:30||||||21:00||06:30||||||14:00||06:30||||||21:00||06:30||||||21:00||06:30||||||21:00||08:00||||||14:00|||||||| ; ||||||||07:00||15:00||||||07:00||15:00||||||07:00||15:00||||||07:00||15:00||||||07:00||15:00||||||||||||||||||||";LUCAS||02.43.93.61.08||;;;;Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;48.0564454, 0.73626486;Sarthe
LES DOUCEURS DU PLESSIS;;;;13 rue des Meuniers;;49124;;;LE PLESSIS-GRAMMOIRE;49241;47.49554;-0.43274;;;02 41 60 35 69;;lesdouceursduplessis@gmail.com;;;Facebook||https://www.facebook.com/lesdouceursduplessis/;;;;;;;;;Service en terrasse;40;1;20;;;;;;;;;"19/05/2021||31/12/2021||||||09:00||14:30||||||09:00||14:30||18:30||21:00||09:00||14:30||||||09:00||14:30||||||09:00||21:00|||||||||||||||||||| ; 01/01/2022||31/12/2022||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||22:00|||||||||||||||||||| ; 01/01/2023||31/12/2023||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||18:30||22:00||||||||||||||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.49554, -0.43274;Maine-et-Loire
LES ENFUMÉS;Restaurant;Brasserie;Impasse du Coudrais;Impasse du Coudrais;;44140;;;MONTBERT;44102;47.09534;-1.45077;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2023||31/12/2023||Ouverts les lundis et mardis de10h à 14h30 les mercredis et jeudis de 10h à 22h30 et les vendredis et samedis  de 10h à 23h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.09534, -1.45077;Loire-Atlantique
LES GRILLADES DE SILLÉ;Restaurant;Restauration rapide;;10 Rue du Commandant Levrard;;72140;;;SILLE-LE-GUILLAUME;72334;48.183;-0.12953;;;02 55 46 62 27;;;;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;20/09/2022||||||||||||||||11:30||14:30||18:00||22:00||11:30||14:30||18:00||22:00||11:30||14:30||18:00||22:00||11:30||14:30||18:00||22:00||11:30||14:30||18:00||22:00||||||18:00||22:30;;;;;Cartes bancaires,Espèces;48.183, -0.12953;Sarthe
LES PAGANNES;Restaurant;Brasserie;;Centre Commercial Carrefour;Route d'Angers;49300;;;CHOLET;49099;47.0754;-0.84279;;;02 41 58 74 66;;guillchar@hotmail.fr;;;;;;;;;oui;;;Service en terrasse,WiFi;80;;20;;;;;;;;;01/01/2021||31/12/2021||||||12:00||||||||12:00||||||||12:00||||||||12:00||||||||12:00||||||||12:00||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.0754, -0.84279;Maine-et-Loire
LES PAPILLES FONT DE LA RÉSISTANCE;Restaurant;Crêperie;;3 rue Travot;;49300;;;CHOLET;49099;47.05993;-0.88031;;;02 41 28 21 65;;lespapillesfontdelaresistance@gmail.com;http://www.lespapillesfontdelaresistance.fr;;Facebook||https://www.facebook.com/lespapillesfontdelaresistance/;;;;;;oui;;;Service en terrasse,WiFi;70;;30;;;;oui;oui;;40;;01/01/2022||31/12/2022||||||||||||||12:00||||||||12:00||||||||12:00||||19:00||||12:00||||19:00||||12:00||||19:00||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.05993, -0.88031;Maine-et-Loire
LES PETITS PRÉS;Restaurant;;;6, Place du ralliement;;49100;;;ANGERS;49007;47.47128;-0.5524;;;02 41 88 42 87;;contact@lespetitspres.fr;http://www.lespetitspres.fr;;"Twitter||https://twitter.com/LesPetitsPres ; Facebook||https://www.facebook.com/samuelalbertchef";;;;;;;;Vignobles et découvertes;Service en terrasse;;;;;;;oui;oui;;30;;"02/06/2020||31/12/2021||||||08:30||01:00||||||08:30||01:00||||||08:30||01:00||||||08:30||01:00||||||08:30||01:00||||||08:30||01:00||||||08:30||01:00|||| ; 01/01/2022||31/12/2022||||||08:00||00:00||||||08:00||00:00||||||08:00||00:00||||||08:00||00:00||||||08:00||00:00||||||08:00||00:00||||||09:00||16:00|||| ; 01/01/2023||31/12/2023||||||08:00||01:00||||||08:00||01:00||||||08:00||01:00||||||08:00||01:00||||||08:00||01:00||||||08:00||01:00||||||08:00||16:00||||";;;;;Cartes bancaires,Espèces,Tickets Restaurant;47.47128, -0.5524;Maine-et-Loire
LES TABLES DU SOLEIL;Restaurant;Cafétéria;;187 Route de la Pointe St-Gildas;Centre du Soleil de Jade;44770;;;PREFAILLES;44136;47.13472;-2.24116;;;02 40 21 60 23;;info@soleildejade.com;https://www.lestablesdusoleil.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.13472, -2.24116;Loire-Atlantique
LG TRAITEUR;;Cuisine traditionnelle;;27 Avenue Georges Auric;;72700;;;ROUILLON;72257;48.012473;0.150147;;06 48 38 47 13;02 43 28 01 07;;lg-traiteur@orange.fr;http://lg-traiteur.fr/;;Facebook||https://www.facebook.com/Lg-Traiteur-1563223190407208/;;;;;;non;;;Livraison à domicile / Covid-19,Plats à emporter,Plats à emporter / Covid-19,Traiteur;;;;;;;non;non;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;48.012473, 0.150147;Sarthe
LILI GOURMANDE;Restaurant;;17 rue du Château Gaillard;2 rue Saint Denis;;49100;;;ANGERS;49007;47.47047;-0.55189;;07 85 69 71 01;02 41 96 02 53;;liligourmande.angers@gmail.com;http://www.liligourmande.com;;;;;;;;oui;;;Climatisation,Service en terrasse,WiFi;20;2;24;;;;oui;oui;;12;;"01/06/2019||31/12/2019||||||||||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00|||||||||||| ; 01/01/2020||31/12/2020||||||||||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00||||||09:00||19:00|||||||||||| ; 01/01/2022||12/08/2022||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||20:00||||||10:00||20:00|||||||||||| ; 13/08/2022||21/08/2022||||||08:30||21:00||||||08:30||21:00||||||08:30||21:00||||||08:30||21:00||||||08:30||21:00||||||08:30||21:00||||||08:30||21:00|||| ; 22/08/2022||31/12/2022||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||19:00||||||10:00||20:00||||||10:00||20:00||||||||||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.47047, -0.55189;Maine-et-Loire
LOCHAIN CHARCUTERIE TRAITEUR;;Cuisine traditionnelle;;11 Place d'Avesnières;;53000;;;LAVAL;53130;48.059599;-0.7630202;;;02 43 53 24 80;;lochain.charcuterie@orange.fr;http://www.lochain-charcuterie.fr/;;;;;;;;;;;Traiteur;;;;;;;;;;;;;;;;;;48.059599, -0.7630202;Mayenne
LOMAR - DOMAINE DE PAN;Restaurant;Brasserie;;14 Le Nézil;;44410;;;SAINT-LYPHARD;44175;47.3711;-2.318;;;02 53 35 50 30;;pan@astonomia.com;https://astonomia.com/domaine-de-pan/;;;;;;;;;;;Séminaire,Service en terrasse,WiFi;;;;;;;;;;;;01/03/2023||05/11/2023||||||||||||||||||||||12:30||14:30||18:00||22:00||12:30||14:30||18:00||22:00||12:30||14:30||18:00||22:00||12:30||14:30||18:00||22:00||12:30||14:30||18:00||22:00;;;;;;47.3711, -2.318;Loire-Atlantique
L’AGAVE;Restaurant;;;11 rue Léon Blum;;44100;;;NANTES;44109;47.219104;-1.555368;;;02 40 47 54 51;;;;;Facebook||https://www.facebook.com/Lagave.Nantes;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.219104, -1.555368;Loire-Atlantique
MARINA BAY;Restaurant;Cuisine traditionnelle;;Quai Jean Mounès;Port du Collet;44760;;;LES MOUTIERS-EN-RETZ;44106;47.0293;-1.97835;;;02 40 64 68 93;;contact@leclusier.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.0293, -1.97835;Loire-Atlantique
MC DONALD'S;Restaurant;Restauration rapide;Parc commercial de la Colleraye;Parc commercial de la Colleraye;;44260;;;SAVENAY;44195;47.37231;-1.936269;"Route (nationale/départ.)||||0,5 ; Gare SNCF||||3";;02 40 04 11 45;;;;;;;;;;;;;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse,WiFi;;1;;0;1;;oui;oui;;;oui;;||02 40 04 11 45||;;;;Cartes bancaires,Tickets Restaurant;47.37231, -1.936269;Loire-Atlantique
MC DONALD'S;Restaurant;Restauration rapide;;Le Pont de Pierre;;44360;;;VIGNEUX-DE-BRETAGNE;44217;47.2921762;-1.7424089;;;02 28 02 04 08;;;;;"Facebook||https://www.facebook.com/McDonaldsVigneuxdeBretagne ; Instagram||https://www.instagram.com/explore/locations/320053591886902/mcdonalds-vigneux-de-bretagne/";;;;;;;;;;;;;;;;oui;oui;;;oui;;Mac donald's||02 28 02 04 08||;;;;Cartes bancaires,Chèques bancaires et postaux;47.2921762, -1.7424089;Loire-Atlantique
MISTER DÖNER;;;;67 bis rue Sadi Carnot;;49300;;;CHOLET;49099;47.06263;-0.86717;;;02 41 28 08 08;;communication@misterdoner.com;http://www.misterdoner.com;;Facebook||https://www.facebook.com/MisterDonerCholet/;;;;;;;;;Livraison à domicile / Covid-19,Plats à emporter / Covid-19;40;1;;;;;;;;;;;;;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.06263, -0.86717;Maine-et-Loire
MLLE C'GOURMAND;;Restauration rapide;;Place Jules Verne;;44360;;;VIGNEUX-DE-BRETAGNE;44217;47.3314;-1.69496;;06 84 13 25 30;;;contact.mllecgourmand@gmail.com;;;"Facebook||https://www.facebook.com/mllecgourmand ; Instagram||https://www.instagram.com/mllecgourmand";;;;;;;;;Plats à emporter;;;;;;;;;;;;;;;;;;47.3314, -1.69496;Loire-Atlantique
MR JO;Restaurant;Cuisine traditionnelle;;plage de l'océan;Boulevard de l'océan;44250;;;SAINT-BREVIN-LES-PINS;44154;47.2261929;-2.1720646;;;07 68 96 39 44;;;https://www.facebook.com/MrJo-105386642077628/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2261929, -2.1720646;Loire-Atlantique
N'SUSHI;Restaurant;Restaurant gastronomique - cuisine raffinée;;28 Rue Léon Fourneau;;44770;;;LA PLAINE-SUR-MER;44126;47.13735;-2.19194;;07 71 13 97 73;;;nsushi44770@gmail.com;https://www.facebook.com/Nsushi-103502615008203/;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;;;;;;;47.13735, -2.19194;Loire-Atlantique
O P'TIT BRETTOIS;Restaurant;Cuisine traditionnelle;;30 Rue des Glycines;;72250;;;BRETTE-LES-PINS;72047;47.91156;0.3365;;;02 43 75 48 73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.91156, 0.3365;Sarthe
O'BRIEN'S IRISH PUB;Restaurant;;;130 avenue de Mazy;;44380;;;PORNICHET;44132;47.26949;-2.3442;;;02 44 73 96 41;;;;;;;;;;;;;;WiFi;;;;;;;;;;;;03/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Espèces;47.26949, -2.3442;Loire-Atlantique
O'PASSAGE;Restaurant;Cuisine traditionnelle;;60 Avenue Robert Buron;;53000;;;LAVAL;53130;48.07338;-0.76296;;;0243560976;;restaurant@o-passage.com;https://o-passage.com/;;;;;;;;;;;Plats à emporter,Traiteur;;;;;;;;;;;oui;||||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||19:30||||||09:00||15:00||||||||||||;;;;;;48.07338, -0.76296;Mayenne
O'SPOT;Restaurant;Pizzeria;;203 Route de la Pointe Saint-Gildas;;44770;;;PREFAILLES;44136;47.13557;-2.24354;;;02 51 18 38 53;;herpin.emmanuel@orange.fr;;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.13557, -2.24354;Loire-Atlantique
O'TACOS;Restaurant;Restauration rapide;;42 Avenue de la République;;44600;;;SAINT-NAZAIRE;44184;47.278;-2.21224;"Gare SNCF||||1 ; Transport en commun||Ligne Hélyce - Arrêt Rue de la Paix||0,29 ; Transport en commun||Ligne U4 - Arrêt Albert de Mun||0,27";;;;otacos.saintnazaire@resto-tacos.com;https://o-tacos.com/fr/;;"Facebook||https://www.facebook.com/pg/otacossaintnazaire/about/?ref=page_internal ; Instagram||";;;;;;;;;Livraison à domicile / Covid-19,Plats à emporter,Plats à emporter / Covid-19;;;;;;;;;;;oui;01/01/2023||31/12/2023||Ouvert du lundi au dimanche||Ouvert 7j/7||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30||11:30||||||23:30;;;;"Menu adulte du jour (midi en semaine)||5,00||9,00|| ; Menu adulte soir et week-end||5,00||9,00||";;47.278, -2.21224;Loire-Atlantique
OLIVIER TRAITEUR;Restaurant;Cuisine traditionnelle;;52 route de Saint Père en Retz;;44210;;;PORNIC;44131;47.12659;-2.09563;;06 01 08 71 41;06 01 08 71 41;;olivier.traiteurpornic@gmail.com;http://www.traiteur-pornic.fr;;;;;;;;;;;Plats à emporter,Traiteur;;;;;;;;;;;;;;;;;;47.12659, -2.09563;Loire-Atlantique
PANEM;Restaurant;Cuisine du Monde;;10 avenue du Général de Gaulle;;44600;;;SAINT-NAZAIRE;44184;47.2736164;-2.2076068;"Transport en commun||Ligne U2 - Arrêt: Quatz Horloges||0,01 ; Gare SNCF||||1,6 ; Bord de mer||||0,4";07 71 22 53 12;02 40 22 59 58;;jo.proquin@gmail.com;https://panem.eatbu.com/?lang=fr;;;;;;;;oui;;;Plats à emporter,Service en terrasse,WiFi;50;;24;;;;;;;;;01/01/2023||31/12/2023||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||||;||07 71 22 53 12||jo.proquin@gmail.com;;;"Menu adulte du jour (midi en semaine)||15,00||18,00|| ; Menu adulte soir et week-end||28,00|||| ; Plats à la carte||15,00||19,00||";Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2736164, -2.2076068;Loire-Atlantique
PAT A PIZZ';Restaurant;Restauration rapide;;2 bis Rue de Nantes;;44860;;;PONT-SAINT-MARTIN;44130;47.12337;-1.58428;;;02 40 32 75 32;;;;;;;;;;;;;;;;;;;;;;;;;;||||Ouvert mardi, jeudi vendredi et samedi midi et ouvert du mardi au dimanche soir.||||||||||||12:00||13:00||18:00||21:30||||||18:00||21:30||12:00||13:30||18:00||21:30||12:00||13:30||18:00||21:30||||||18:00||22:00||12:00||13:30||18:00||21:30;||02 40 32 75 32||starfixe 2@wanadoo.fr;;;;;47.12337, -1.58428;Loire-Atlantique
PATACHÉE;;;;116 Avenue Pierre Mendès France;;49240;;;AVRILLE;49015;47.5067;-0.58948;;;02 41 88 11 70;;restaurant.patachee@gmail.com;https://www.patachee.com/;;Facebook||https://www.facebook.com/Patachee/;;;;;;oui;;;Climatisation;22;1;;;;;;;;;;"01/01/2021||31/12/2021|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/01/2022||31/12/2022||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||19:30||21:00||12:00||13:30||19:30||21:00|||||||||||||||| ; 01/01/2023||31/12/2023||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||19:30||21:00||12:00||13:30||19:30||21:00||||||||||||||||";;;;;Cartes bancaires,Espèces,Tickets Restaurant,Virement;47.5067, -0.58948;Maine-et-Loire
PICK EAT;Restaurant;;;15 Rue des Poeliers;;49100;;;ANGERS;49007;47.47296;-0.55098;;06 44 68 96 69;02 41 37 04 90;;alexandre.bracquart@hotmail.fr;;;Facebook||https://www.facebook.com/PickEatAngers/;;;;;;;;;;;;;;;;;;;;;30/10/2020||05/04/2021||||||||||||||12:00||14:15||19:00||21:15||12:00||14:15||19:00||21:15||12:00||14:15||19:00||21:15||12:00||14:15||19:00||21:15||12:00||14:15||19:00||21:15||||||||;;;;;;47.47296, -0.55098;Maine-et-Loire
PIZZA CROUSTY;Restaurant;Restauration rapide;2, place Victor Hugo;;;72400;;;LA FERTE-BERNARD;72132;48.1876399;0.6420476;;;02 43 60 77 77;;;http://www.pizzacrousty.fr/contact.html;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;||||||||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||11:00||14:00||18:00||22:30||18:00||22:30||||;;;;;;48.1876399, 0.6420476;Sarthe
PIZZA PAOLI;Restaurant;Pizzeria;;150 avenue de Lattre de Tassigny;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28523;-2.3983;;;02 40 11 07 07;;pizza.paoli@laposte.net;http://www.pizzapaoli.fr;;;;;;;;;;;;;;;;;;;;;;;"01/01/2022||30/06/2022||||||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00 ; 01/07/2022||31/08/2022||||||11:30||14:00||18:30||00:00||11:30||14:00||18:30||00:00||11:30||14:00||18:30||00:00||11:30||14:00||18:30||00:00||11:30||14:00||18:30||00:00||11:30||14:00||18:30||00:00||11:30||14:00||18:30||00:00 ; 01/09/2022||31/12/2022||||||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00||11:30||14:00||18:30||23:00";;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.28523, -2.3983;Loire-Atlantique
PIZZERIA LA CASA D'ANCEL;Restaurant;Pizzeria;;9 Place du Commerce;;44360;;;SAINT-ETIENNE-DE-MONTLUC;44158;47.276085;-1.7805803;;;02 40 86 97 53;;drouetstephane0419@orange.fr;;;Facebook||https://www.facebook.com/lacasadancel;;;;;;;;;;;;;;;;oui;oui;;;;;||02 40 86 97 53||;;;;;47.276085, -1.7805803;Loire-Atlantique
PIZZERIA PIAZZA NAVONA;Restaurant;Pizzeria;;9 rue Jean Grémillon;;72000;;;LE MANS;72181;48.0137166;0.16361089;;;02 43 87 03 28;;;http://www.piazza-navona-pizzeria.com/;;Facebook||https://www.facebook.com/piazza.navona.79?fref=ts;;;;;;;;;Plats à emporter / Covid-19,Service en terrasse;;;;;;;;;;;oui;;;;;;Cartes bancaires,Tickets Restaurant;48.0137166, 0.16361089;Sarthe
PIZZÉRIA LA FORGE;Restaurant;Pizzeria;;1 Rue Saint Fiacre;;44420;;;PIRIAC-SUR-MER;44125;47.38001;-2.54595;;;02 40 23 60 33;;pizzerialaforge@gmail.com;;;;;;;;;oui;;;Service en terrasse;40;;20;;;;;;;;;01/04/2022||30/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Espèces;47.38001, -2.54595;Loire-Atlantique
POIVRE & SEL;;Cuisine traditionnelle;;126 Rue Victor Boissel;;53000;;;LAVAL;53130;48.0630677;-0.7592586;;;02 43 53 73 28;;poivre-sel@orange.fr;https://www.facebook.com/Poivre-Sel-109705337380761/;;;;;;;;;;;Traiteur;;;;;;;;;;;;;;;;;;48.0630677, -0.7592586;Mayenne
PRESQU'ÎLE GOURMANDE;Restaurant;;;ZA de Kergoulinet;;44420;;;MESQUER;44097;47.39302;-2.45966;;;06 52 40 34 49;;presquilegourmande@gmail.com;http://presquilegourmande.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.39302, -2.45966;Loire-Atlantique
PROVENCE CAFFÉ;;Restaurant gastronomique - cuisine raffinée;;9 place du Ralliement;à l'étage;49100;;;ANGERS;49007;47.47109;-0.5512;;06 07 91 27 31;02 41 87 44 15;;contact@provence-caffe.com;http://www.provence-caffe.com;;Facebook||https://www.facebook.com/provencecaffeangers;;;Bottin Gourmand,Champerard,Le petit futé,Michelin;;;oui;;;Climatisation,WiFi;70;1;;;;;oui;oui;;70;;"01/01/2021||31/12/2021|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/05/2021||31/12/2021||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00|||||||| ; 01/01/2022||31/12/2022||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00|||||||| ; 01/01/2023||31/12/2023||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||||";;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.47109, -0.5512;Maine-et-Loire
R DU TEMPS;Restaurant;Bistrot / bar à vin;;6 rue François Marceau;;44600;;;SAINT-NAZAIRE;44184;47.276351;-2.2070234;Transport en commun||Ligne Hélyce - Arrêt Rue de la Paix||0,19;;02 51 75 01 75;;contact@rdutempsbar.fr;https://lr-du-temps-saint-nazaire.eatbu.com/?lang=fr#;;Facebook||https://www.facebook.com/bistrotRdutemps/timeline?ref=page_internal;;;;;;oui;;;Banquet,Plats à emporter,Plats à emporter / Covid-19,Séminaire,Service en terrasse;210;1;150;0;;;oui;oui;;70;oui;01/01/2023||31/12/2023||Ouvert du lundi au samedi||Fermé le dimanche||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||22:00||11:00||||||22:00||||||||;||02 51 75 01 75||;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.276351, -2.2070234;Loire-Atlantique
RADISSON BLU;Restaurant;Cuisine traditionnelle;;6 place Aristide Briand;;44000;;;NANTES;44109;47.2176826;-1.5638801;;;02 72 00 12 14;;restaurant.nantes@radissonblu.com;;;;;;Guide du Routard Pays de la Loire,Le petit futé,Les Tables de Nantes,Michelin,Pudlowski;;;non;;;Banquet,Séminaire,Service en terrasse,WiFi;88;1;30;6;1;;oui;oui;1;230;oui;;;;;;Cartes bancaires,Tickets Restaurant;47.2176826, -1.5638801;Loire-Atlantique
RAINBOW CAFE;Restaurant;Cuisine traditionnelle;;84, route de Normandie;;53250;;;NEUILLY-LE-VENDIN;53164;48.4953726;-0.340678;;;02.43.03.89.57;;sam.davy@orange.fr;;;;;;;;;non;;;Banquet,Traiteur;80;1;;;;;;;;;oui;;DAVY Sam||02 43 03 89 57||sam.davy@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;48.4953726, -0.340678;Mayenne
RESTAURANT  BUFFALO GRILL;Restaurant;Grill - Rôtisserie;;Rue Blaise Pascal;ZAC du Vivier;72700;;;ALLONNES;72003;47.9731908;0.1454009;;;02 43 88 25 14;;;http://www.buffalo-grill.fr;;;;;;;;oui;;;Service en terrasse,WiFi;;;;;;;oui;oui;;;oui;;;;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.9731908, 0.1454009;Sarthe
RESTAURANT  MANOIR CLAUDINE-LA CHATAIGNERAIE;Restaurant;Cuisine traditionnelle;;62 rue de la Papinière;;44240;;;SUCE-SUR-ERDRE;44201;47.3355769;-1.5222872;;;02 49 62 39 00;;contact@manoirclaudine.com;https://www.manoirclaudine.com/bistrot?fbclid=IwAR3hsZ8Qu0oWdmZ2bIvw2YMUkU1t23LZT9K3PMA6cx4eS2kFOVuFw1fOqio;;"Instagram||https://www.instagram.com/manoirclaudine_chataigneraie/ ; Facebook||https://www.facebook.com/manoirclaudine.chataigneraie";;;;;;oui;;;Banquet,Séminaire,Service en terrasse,WiFi;40;1;80;1;;;oui;oui;20;100;oui;;;oui;||https://bookings.zenchef.com/results?rid=357867&pid=1001&fullscreen=1&fbclid=IwAR2sIq4o8Lt7iv8S-kXAv0AxEVzO1esyquZ1tlrTz0rJvxb3uCIKD4RpF8o||||02 49 62 39 00||contact@manoirclaudine.com;;Cartes bancaires,Espèces;47.3355769, -1.5222872;Loire-Atlantique
